,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
304,304,410470023042004,410470021022,4138.9,143,130,1,4,1,3,591862.7
305,305,410470023043009,school_523,4592.5,16,16,0,0,0,0,73480.0
306,306,410470023044003,410470021022,5577.7,29,25,0,0,4,0,161753.3
307,307,410470024001000,poll_2016_3,2881.7,36,30,0,1,2,3,103741.2
308,308,410470024001011,poll_2016_3,6024.7,5,2,1,1,0,0,30123.5
309,309,410470024001018,poll_2016_3,5182.3,470,429,1,4,13,7,2435681.0
310,310,410470024001023,poll_2016_3,6211.9,2,2,0,0,0,0,12423.8
311,311,410470024001025,poll_2016_4,4319.5,72,67,0,0,1,1,311004.0
312,312,410470024002020,poll_2016_3,7734.1,7,7,0,0,0,3,54138.700000000004
313,313,410470024002026,poll_2016_3,7290.2,25,25,0,0,0,0,182255.0
314,314,410470024002047,poll_2016_4,4050.3,11,10,1,0,0,0,44553.3
315,315,410470024002101,poll_2016_3,7652.9,7,7,0,0,0,0,53570.299999999996
316,316,410470025011016,poll_2016_6,12830.1,103,91,0,0,7,14,1321500.3
317,317,410470025011018,410470016042,11762.2,280,261,0,5,2,11,3293416.0
318,318,410470025011020,410470016042,11357.7,142,110,0,0,22,15,1612793.4000000001
319,319,410470025011031,410470016042,11665.5,20,20,0,0,0,4,233310.0
320,320,410470025011036,410470016042,11536.5,2,2,0,0,0,0,23073.0
321,321,410470025011041,410470016042,11480.7,51,51,0,0,0,1,585515.7000000001
322,322,410470025011047,410470016022,9039.6,23,23,0,0,0,3,207910.80000000002
323,323,410470025012010,410470016022,8485.5,289,264,2,2,5,11,2452309.5
324,324,410470025012013,410470016022,8369.2,51,49,0,0,0,10,426829.2
325,325,410470025012018,410470016022,7823.7,344,302,0,4,1,31,2691352.8
326,326,410470025013001,410470016022,9146.6,7,7,0,0,0,0,64026.200000000004
327,327,410470025013007,410470016022,8730.0,46,41,0,0,0,7,401580.0
328,328,410470025013011,410470016022,9159.9,558,469,0,4,10,90,5111224.2
329,329,410470025013016,410470016022,7892.2,69,60,0,2,2,12,544561.7999999999
330,330,410470025021097,poll_2016_6,13451.6,24,24,0,0,0,0,322838.4
331,331,410470025021113,410470016022,5777.7,1,1,0,0,0,0,5777.7
332,332,410470025022040,poll_2016_6,6576.5,6,3,0,1,0,2,39459.0
333,333,410470025023004,poll_2016_6,4440.0,309,250,0,0,3,75,1371960.0
334,334,410470025023008,410470016042,5377.9,2,1,0,0,0,0,10755.8
335,335,410470025023009,410470016042,5349.1,8,8,0,0,0,0,42792.8
336,336,410470025023015,410470016042,5230.1,36,34,0,0,0,0,188283.6
337,337,410470025023018,poll_2016_6,5388.7,2,2,0,0,0,0,10777.4
338,338,410470026001002,poll_2016_6,5317.8,33,28,0,0,0,6,175487.4
339,339,410470026001027,poll_2016_6,4549.8,5,4,0,0,1,0,22749.0
340,340,410470027001010,school_523,12849.8,133,124,2,1,2,4,1709023.4
341,341,410470027001044,school_523,13488.6,49,49,0,0,0,5,660941.4
342,342,410470027002007,school_523,13505.3,9,9,0,0,0,0,121547.7
343,343,410470027002012,school_523,12458.8,7,6,0,1,0,0,87211.59999999999
344,344,410470027002042,school_523,12435.5,10,10,0,0,0,0,124355.0
345,345,410470027002050,school_523,11784.2,10,10,0,0,0,1,117842.0
